rmse,mae,nse,kge,n,pss,model,horizon,gauge_id,water_body
0.021477445018224097,0.01325377570005748,0.9850715553956974,0.9925073892905099,1827,0.05624303362889438,ridge,1,2073,Silvaplanersee
0.015940728627972044,0.010580419822004946,0.9940572755852973,0.9854798151695836,1827,0.3745720287238119,ridge,1,2081,Pfäffikersee
0.01753717779452778,0.00953556850920047,0.9926892945761016,0.978413559802239,1827,0.40362162100153187,ridge,1,2082,Greifensee
0.007774307463729994,0.005632639656076167,0.9972948232551109,0.9819313584183172,1827,0.1715555235982098,ridge,1,2097,Hallwilersee
0.0168726466561338,0.009132956195978148,0.9904573319780503,0.9748804820788711,1827,0.4290003034575942,ridge,1,2101,Lago_di_Lugano
0.012560770628903793,0.007428560434365692,0.9969671064661169,0.9821624484760668,1827,0.40306936748709776,ridge,1,2137,Baldeggersee
0.00720798750738003,0.004512152966770741,0.9975688788378966,0.9790103680987333,1827,0.3426048235856235,ridge,1,2168,Sempachersee
0.04494495993550239,0.020462324057801306,0.9681739701613792,0.9839904645061218,1827,0.35543017333106386,ridge,1,2484,Lauerzersee
0.016094833169775502,0.010547762431129875,0.9918920097722059,0.9811910949821406,1827,0.34440946355530133,lightgbm,1,2004,Murtensee
0.07055504292987032,0.027520637346102304,0.9815943262665153,0.9839289831509594,1827,0.037133309351599864,lightgbm,1,2007,Lac_de_Joux
0.00758164497002682,0.004580451097163408,0.9979758023812965,0.9987079322167004,1827,0.4587215115335276,lightgbm,1,2017,Zugersee
0.0149729407117336,0.007838639074523234,0.9932199776653817,0.9846503846773316,1827,0.3792217841086256,lightgbm,1,2031,Ägerisee
0.02521277320089178,0.01709610140996267,0.8713271419486213,0.922896469761131,1827,0.11470232930152435,lightgbm,1,2066,St._Moritzersee
0.020919405742243696,0.010728694232855183,0.9840858278917474,0.9873212523632247,1740,0.11876135016536804,lightgbm,1,2072,Silsersee
0.017945907519218436,0.010802095004042079,0.9895773013850041,0.9873950401198,1827,0.21142504498356585,lightgbm,1,2073,Silvaplanersee
0.021137373861903397,0.012073260044590224,0.9895510822198017,0.9748978732284749,1827,0.17068377731749984,lightgbm,1,2081,Pfäffikersee
0.017493385464353868,0.008963135282249486,0.9927257603176753,0.9837190791338076,1827,0.4051108457324253,lightgbm,1,2082,Greifensee
0.039968582702522314,0.013221425437471682,0.9284993949042097,0.8336013731894776,1827,-3.259125552210439,lightgbm,1,2097,Hallwilersee
0.020638717912211172,0.010416851865090953,0.9857219524974681,0.9546096596949702,1827,0.3015499047025477,lightgbm,1,2101,Lago_di_Lugano
0.011014310315990223,0.005924132586439889,0.9976679427315363,0.9946970586988869,1827,0.47656243252399677,lightgbm,1,2137,Baldeggersee
0.006774448487958825,0.0038026150013441974,0.9978525332767864,0.9919759737756405,1827,0.38214518902925243,lightgbm,1,2168,Sempachersee
0.03874558929189067,0.01652194236174099,0.9763481556923704,0.9881735317021373,1827,0.4443373003358181,lightgbm,1,2484,Lauerzersee
0.016139345066605082,0.010605164476215994,0.9918471008158575,0.9915169738609907,1827,0.3425963612998847,lstm,1,2004,Murtensee
0.07478173524155018,0.03207499803539832,0.9793230405970116,0.9780239461171271,1827,-0.02054848162373024,lstm,1,2007,Lac_de_Joux
0.006979811184887106,0.004949033858525027,0.9982844105328731,0.9869092174594242,1827,0.5016883983788407,lstm,1,2017,Zugersee
0.013707803960248708,0.008188201918384782,0.994317326760461,0.9966233071707374,1827,0.4316743617662625,lstm,1,2031,Ägerisee
0.025917037295356136,0.017152989179657085,0.864038351852099,0.9076311274816922,1827,0.08997346042946341,lstm,1,2066,St._Moritzersee
0.022859301787380003,0.014045413923549702,0.9809974761521311,0.9877628456059496,1740,0.03704242407831615,lstm,1,2072,Silsersee
0.019525689594143445,0.01314897631364712,0.9876615077995156,0.9745365381753226,1827,0.14200662313247558,lstm,1,2073,Silvaplanersee
0.016162686462862452,0.010320583797268208,0.9938906310917075,0.9866645363593571,1827,0.3658636038064733,lstm,1,2081,Pfäffikersee
0.013286220146026897,0.008676664953165537,0.9958039296250454,0.9860099558682077,1827,0.5481818952547337,lstm,1,2082,Greifensee
0.012415814174535831,0.007229902385090368,0.9931004204163034,0.9551181790176602,1827,-0.32305195297617995,lstm,1,2097,Hallwilersee
0.015493661538125588,0.009442004285400964,0.9919534165231871,0.9704198929312753,1827,0.47566755726587195,lstm,1,2101,Lago_di_Lugano
0.011045628626943377,0.006505427898801338,0.9976546618399063,0.9966498243480043,1827,0.4750740796419305,lstm,1,2137,Baldeggersee
0.007266317634431676,0.004858997898820007,0.9975293722793435,0.9925275473823261,1827,0.3372848998032739,lstm,1,2168,Sempachersee
0.037600258612407,0.017717736840905406,0.9777257990014484,0.9812462035863062,1827,0.4607628483530555,lstm,1,2484,Lauerzersee
0.058302653855316564,0.03916985951468666,0.8936060567846714,0.946855936461171,1827,0.0,persistence,3,2004,Murtensee
0.11123264117484269,0.07130202932679085,0.6127381134462984,0.7419438937056151,1827,-0.907848679596589,climatology,3,2004,Murtensee
0.15366102272419047,0.08612102133245549,0.9126982323547397,0.9563369953242543,1827,0.0,persistence,3,2007,Lac_de_Joux
